Puesto,Empresa,Puntuación empresa,Ubicación,Estado postulación,Fecha,Candidatos,URL aviso
Analista Soporte Tecnico IT,ADMINTECH SRL,,"Palermo, Capital Federal",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-soporte-tecnico-it-palermo-capital-presencial-en-palermo-827CEB380D6600C661373E686DCF3405
Soportes IT,ARCHLATAM,"4,0","Monserrat, Capital Federal",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soportes-it-capital-federal-en-monserrat-84D40F8B60A601F561373E686DCF3405
Soporte IT e Infraestructura,TMT,"4,2","Belgrano, Capital Federal",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-it-e-infraestructura-en-belgrano-D276583B36EEA78061373E686DCF3405
It Support Analyst  Jr Semi Sr,Grateful S.A.,,"Tortuguitas, Buenos Aires-GBA",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-it-support-analyst-jr-semi-sr-turno-completo-en-tortuguitas-BF552AF028F4CA4161373E686DCF3405
Analista de Soporte Técnico IT,Tecnosop,,"Campana, Buenos Aires",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-soporte-tecnico-it-industria-energetica-en-campana-con-beneficios-en-campana-C3DD2765A3EC982561373E686DCF3405
Gestor de Procesos y Calidad de IT,Gestion Compartida,"4,2","Barracas, Capital Federal",Proceso finalizado,21 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-gestor-de-procesos-y-calidad-de-it-en-barracas-3CA519E7CE27AFBE61373E686DCF3405
Analista de Gestión de Accesos e identidades,,,,Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-gestion-de-accesos-e-identidades-en-parque-patricios-05293E8527E6B17A61373E686DCF3405
Analista de Mesa de ayuda con exp. en Gestión de Accesos e identidades,Synchro Technologies S.A,,"Parque Patricios, Capital Federal",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-mesa-de-ayuda-con-exp-en-gestion-de-accesos-e-identidades-en-parque-patricios-E0DA965D8CBB5CD961373E686DCF3405
Coordinador de Soporte Técnico,Importante empresa del sector Salud,,"Belgrano, Capital Federal",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-de-soporte-tecnico-en-belgrano-794387B09ABCB6EC61373E686DCF3405
Help Desk,,,,Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-help-desk-puerto-madero-en-puerto-madero-5D7E4F73AC7C249061373E686DCF3405
Ref. 21216: Analista de Soporte Jr. / Belgrano CABA,ADN - Recursos Humanos,"3,5","Belgrano, Capital Federal",Proceso finalizado,18 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-21216-analista-de-soporte-jr-belgrano-caba-en-belgrano-AF9193F7FD0B452961373E686DCF3405
Especialista de Soporte y Mantenimiento Técnico,FTL S.A,,"Parque Patricios, Capital Federal",CV Visto,18 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-de-soporte-y-mantenimiento-tecnico-en-parque-patricios-A2C44418C970ABE561373E686DCF3405
Soporte Tecnico Nivel 1,Importante empresa del sector,,"Retiro, Capital Federal",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-nivel-1-en-retiro-4064886CA216D3A961373E686DCF3405
Field Support IT Soporte Tecnico Informatico SSR /  Aeroparque / Distintas franjas horarias,Yel Solutions,"4,1","Palermo, Capital Federal",Postulado,Hace  2  días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-field-support-it-soporte-tecnico-informatico-ssr--aeroparque-distintas-franjas-horarias-en-palermo-2ADF749122AC831C61373E686DCF3405
Data Entry,Pullmen RRHH,"4,1","Villa Devoto, Capital Federal",Postulado,18 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-data-entry-villa-devoto-en-villa-devoto-FFF4E8D80FBEE53561373E686DCF3405
Ref. 21150: Administrador de Infraestructura y Operaciones IT / Híbrido CABA Centro,ADN - Recursos Humanos,"3,5","Monserrat, Capital Federal",Postulado,18 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-21150-administrador-de-infraestructura-y-operaciones-it-hibrido-caba-centro-en-monserrat-4796821C3AA8EFD661373E686DCF3405
